response_id,satisfaction_reason
GEN24_1061067,We moved to NZ in 2021 with the intention of living there permanently.  We were so disgusted with the treatment of the people not taking the toxic vaccine that we decided to come back to the UK.  I am a Brit but my husband is a Kiwi.  He was appalled at the apartheid adopted by the people and their toxic Government.  Although this was a global issue if the Kiwis just looked at the overseas data they could have avoided a lot of the problems they had.  They are too indoctrinated to look at anything outside of NZ.  Disgusting behaviour in my view.  We only came back to NZ to collect the rest of our belongings.  The people are still blinkered.
GEN24_1061255,"Sky Tower, Skyline Gondola Rotorua, Skyline Luge"
GEN24_1061380,All the lovely cats in New Zealand and people lifestyle
GEN24_1061426,Cleanliness of City
GEN24_1061775,The fact that it has very unique biology background compared to rest of the world
GEN24_1061821,Duck Tour
GEN24_1061835,Animals!!!
GEN24_1061907,The available activities particularly in Queenstown
GEN24_1062045,Day trips to islands
GEN24_1062202,Less traffic and great driving roads
GEN24_1062451,The Hunting
GEN24_1062570,The ease and safety of movement and transportation
GEN24_1062734,Fishing
GEN24_1063487,disc golf course in queenstwon
GEN24_1063564,鉄道の旅
GEN24_1063867,I really enjoyed being in New Zealand
GEN24_1064015,"Scenic Flights, Glohworm Caves, Märkte"
GEN24_1064312,Bungy
GEN24_1064666,ゴルフ練習場
GEN24_1064844,The Antarctic Centre
GEN24_1065085,友好的playground，我家有2娃，他们很喜欢
GEN24_1065610,"School, friends, hostfamily"
GEN24_1065904,Hobbiton
GEN24_1065999,hunting
GEN24_1066188,The Business opportunities I found
GEN24_1066443,Shopping
GEN24_1066461,Playing pickleball
GEN24_1066805,Hobbiton
GEN24_1067074,Wildlife
GEN24_1067495,Hobbiton
GEN24_1067689,Hunting
GEN24_1067744,roads are excellent
GEN24_1067825,Fresh air and peacefulness
GEN24_1067910,Book shop
GEN24_1067925,"Zorbing, Luge, Skyway, Jetboating"
GEN24_1067948,Schwimmen mit Delfinen
GEN24_1068136,Winery
GEN24_1068340,Dog Show
GEN24_1068615,Milford Sound
GEN24_1068664,The fishing
GEN24_1069073,Blenheim Aviation Heritage Museum
GEN24_1069163,Absolutely nothing
GEN24_1069207,自驾沿途的风景与不同于自己国家的生活体验
GEN24_1069394,driving is great in auckland and suburbs. everyone is chillaxed and NO road rage
GEN24_1069485,Les oiseaux
GEN24_1069781,The wildlife sanctuaries
GEN24_1069890,Wildlife
GEN24_1069994,Safety and cleanlyness
GEN24_1070354,The wildlife and learning about conservation efforts
GEN24_1070487,Lord of the Ring experiences
GEN24_1070489,Wildlife
GEN24_1070617,Spending time with family
GEN24_1070632,Fishing
GEN24_1070828,Fishing
GEN24_1070957,Wildlife tours
GEN24_1070970,The weather
GEN24_1071024,Fly Fishing
GEN24_1071288,Golf
GEN24_1071474,Public Facilities
GEN24_1071521,La météo
GEN24_1071536,attentive and considerate fellow drivers
GEN24_1071538,Modern choices in food incl. vegan...
GEN24_1071637,Golf
GEN24_1071651,アクティビティ
GEN24_1071698,Omaka airshow
GEN24_1071849,Business
GEN24_1072171,Weta Workshop (or something like Theme park)
GEN24_1072355,Hobbiton
GEN24_1072439,Hobbitton
GEN24_1072441,Hobbiton
GEN24_1072670,coffee culture
GEN24_1072804,Lord of the rings
GEN24_1072894,"Waiheke day trip, Rangitoto day trip, Tea Puia, Hells Gate, Redwoods tree Climb"
GEN24_1072898,filming locations
GEN24_1072926,Adventure activities
GEN24_1072973,Endemic wildlife
GEN24_1073066,Car show
GEN24_1073068,Cycle trails
GEN24_1073133,Rail trail
GEN24_1073184,cycle hire and cycle trails
GEN24_1073625,Birds & other wildlife.
GEN24_1073629,Hobbiton
GEN24_1073929,Safety and security.
GEN24_1074224,Wildlife
GEN24_1074237,極限運動
GEN24_1074324,activities
GEN24_1074373,Freedom Camping
GEN24_1075135,The immaculately clean public bathrooms !
GEN24_1075145,"Luge, jetboatinh"
GEN24_1075272,Fishing
GEN24_1075408,電影拍攝地
GEN24_1075451,"Luge, mud pools, hot water beach, cathedral cove, rotorua, bungee, jet boat"
GEN24_1075610,Our AATKings tour experience which gave us such excellent access to the south islands beauty
GEN24_1075622,"Easy to get around but the piblic transport is limited., but drivers are very helpful and friendly."
GEN24_1075844,キルトのイベント
GEN24_1075855,Skydiving
GEN24_1076164,Mountain Biking
GEN24_1076323,Tours
GEN24_1076601,Hobbiton
GEN24_1076630,World of Wearable Arts Show
GEN24_1076665,Adventure and entertainment activities
GEN24_1076767,Airsoft
GEN24_1076859,Birds and wildlife
GEN24_1076957,Skydiving
GEN24_1077162,The unique wildlife
GEN24_1077188,Zealandia
GEN24_1077222,Open Garden tour
GEN24_1077251,Winery
GEN24_1077264,Hobbiton movie set
GEN24_1077417,Adventure activities like whitewater rafting
GEN24_1077429,Alps-2-Ocean Cycle Trail
GEN24_1077600,mountain bike trail network
GEN24_1077941,ホビット村
GEN24_1078006,Shopping at various grocery stores and local clothing outlets
GEN24_1078110,Cycling on rail trails
GEN24_1078204,The native wildlife especially leaf veined slugs
GEN24_1078223,"Maori cultural Center Haka and other dancing and singing, and hangi; coffee!!; geothermal pools; stargazing!! WISH we'd seen aurora ..."
GEN24_1078267,Swimming
GEN24_1078509,"Wildlife tours, especially albatross centre"
GEN24_1078511,Musical theatre performed by local amateurs in Blenheim was a highlight
GEN24_1078519,"Skywalk in Auckland, Rundflug in Rotorua"
GEN24_1078520,SAUBERE Öffentliche Toiletten
GEN24_1078824,Golf
GEN24_1078835,public toilet
GEN24_1079243,Parkrun
GEN24_1079254,Cleanliness and civilization.
GEN24_1079637,Nature reserves and protection of native species
GEN24_1079664,Walking on the beaches at Karitane
GEN24_1079742,Picked up an award for gin
GEN24_1079773,"Stargazing, the day cruise"
GEN24_1079793,shopping
GEN24_1079866,"Waterplane, Jet Boat, Helicopter and other activities"
GEN24_1080279,Wildlife conservation
GEN24_1080408,Hobbitson
GEN24_1080609,Family and friends
GEN24_1080610,The Queenstown Bike Trails
GEN24_1080693,Cycling!
GEN24_1080774,Parks and gardens. Art studios
GEN24_1080782,Hobbiton
GEN24_1080833,"Activities such as the Franz Josef Glacier Hike, Queenstown Horse Trek and Kaikoura quad biking"
GEN24_1081045,"Canopy Zipline, scenic Rafting,"
GEN24_1081081,The produce and dairy
GEN24_1081303,Nature and birds
GEN24_1081325,Experiencing different way of life and education
GEN24_1081379,Wildlife
GEN24_1081491,mehere freiwillge arbeiten mitmachen
GEN24_1081533,colleges
GEN24_1081596,Sky tower
GEN24_1081826,Hampton downs MMSB7
GEN24_1081888,Clean water and air
GEN24_1081891,golfing
GEN24_1081942,boat trips and glaicer trip
GEN24_1082224,Movie set tours
GEN24_1082335,돌고래 수영
GEN24_1082462,coffee
GEN24_1082562,Safe
GEN24_1082715,Seeing friends and family
GEN24_1082808,Birds and Wildlife
GEN24_1083002,überall saubere Toiletten
GEN24_1083108,Motorrad fahren
GEN24_1083182,cruising
GEN24_1083216,Nature and wildlife
GEN24_1083332,Seeing family who live in Australia
GEN24_1083358,Ironman 70.3
GEN24_1083545,Getting to know the people with us on our tour and having someone knowledgeable doing the driving
GEN24_1083686,"Sunshine/light quality, and the darkness at night."
GEN24_1084050,Respect for the environment and cleanliness
GEN24_1084122,Skydive
GEN24_1084140,Beaches
GEN24_1084148,Adult entertainment
GEN24_1084187,Den Strand und das Surfen
GEN24_1084600,Hobbiton
GEN24_1084602,Expedition cruise to Sub Antartic Islands
GEN24_25451,Seals and Whales
GEN24_26665,NZ international film festival
GEN24_26906,National parks
GEN24_27087,Hobbiton and the glow worm caves
GEN24_27136,Hobbiton
GEN24_27480,Luge race
GEN24_27611,Heli ride in Franz Josef
GEN24_27632,Surfing
GEN24_27800,Hobbiton
GEN24_27827,The Court Theatre
GEN24_28036,"Activities, skydiving"
GEN24_28421,Beach
GEN24_28754,Roads are beautiful for cycling.
GEN24_28850,Hunting and fishing
GEN24_29038,Adventure activities and Lord of the Rings locations
GEN24_29040,Extreme sports
GEN24_30837,The overall cleanliness of public toilets
